Timestamp,Day,Voltage_V,Flicker_Count,Weather,ENEO_Post,Outage_Occured
21/02/2026 10:00,Saturday,213.9,0,Clear,0,0
21/02/2026 10:30,Saturday,234.2,0,Dull,0,0
21/02/2026 11:00,Saturday,220.8,3,Clear,0,0
21/02/2026 11:30,Saturday,229.6,2,Clear,0,0
21/02/2026 12:00,Saturday,0.0,55,Clear,1,1
21/02/2026 12:30,Saturday,0.0,29,Clear,1,1
21/02/2026 13:00,Saturday,0.0,0,Dull,0,1
21/02/2026 13:30,Saturday,219.7,5,Dull,0,0
21/02/2026 14:00,Saturday,231.0,2,Clear,0,0
21/02/2026 14:30,Saturday,0.0,0,Rain,0,1
21/02/2026 15:00,Saturday,230.6,1,Clear,0,0
21/02/2026 15:30,Saturday,234.6,0,Clear,0,0
21/02/2026 16:00,Saturday,229.2,1,Clear,0,0
21/02/2026 16:30,Saturday,211.6,1,Clear,0,0
21/02/2026 17:00,Saturday,213.0,5,Dull,0,0
21/02/2026 17:30,Saturday,172.6,0,Clear,0,0
21/02/2026 18:00,Saturday,232.6,2,Clear,0,0
21/02/2026 18:30,Saturday,0.0,0,Dull,0,1
21/02/2026 19:00,Saturday,0.0,10,Rain,0,1
21/02/2026 19:30,Saturday,213.0,9,Clear,0,0
21/02/2026 20:00,Saturday,0.0,17,Clear,0,1
21/02/2026 20:30,Saturday,213.0,11,Clear,0,0
21/02/2026 21:00,Saturday,234.2,1,Clear,0,0
21/02/2026 21:30,Saturday,225.2,0,Clear,0,0
21/02/2026 22:00,Saturday,222.2,1,Clear,0,0
21/02/2026 22:30,Saturday,219.2,4,Dull,0,0
21/02/2026 23:00,Saturday,156.9,3,Clear,0,0
21/02/2026 23:30,Saturday,0.0,7,Dull,1,1
22/02/2026 00:00,Sunday,222.9,4,Clear,0,0
22/02/2026 00:30,Sunday,215.7,16,Dull,0,0
22/02/2026 01:00,Sunday,223.9,0,Clear,0,0
22/02/2026 01:30,Sunday,220.1,7,Clear,0,0
22/02/2026 02:00,Sunday,0.0,0,Rain,0,1
22/02/2026 02:30,Sunday,0.0,50,Rain,0,1
22/02/2026 03:00,Sunday,215.9,5,Dull,0,0
22/02/2026 03:30,Sunday,212.3,1,Dull,0,0
22/02/2026 04:00,Sunday,225.7,2,Clear,0,0
22/02/2026 04:30,Sunday,188.2,4,Clear,0,0
22/02/2026 05:00,Sunday,203.3,10,Clear,0,0
22/02/2026 05:30,Sunday,217.3,7,Clear,0,0
22/02/2026 06:00,Sunday,227.3,0,Clear,0,0
22/02/2026 06:30,Sunday,231.8,4,Clear,0,0
22/02/2026 07:00,Sunday,230.2,9,Dull,0,0
22/02/2026 07:30,Sunday,227.5,8,Clear,0,0
22/02/2026 08:00,Sunday,0.0,27,Clear,0,1
22/02/2026 08:30,Sunday,231.4,0,Clear,0,0
22/02/2026 09:00,Sunday,216.8,2,Clear,0,0
22/02/2026 09:30,Sunday,213.4,13,Dull,0,0
22/02/2026 10:00,Sunday,0.0,0,Dull,1,1
22/02/2026 10:30,Sunday,0.0,0,Clear,1,1
22/02/2026 11:00,Sunday,0.0,0,Clear,0,1
22/02/2026 11:30,Sunday,225.9,4,Clear,0,0
22/02/2026 12:00,Sunday,0.0,0,Clear,0,1
22/02/2026 12:30,Sunday,0.0,0,Dull,1,1
22/02/2026 13:00,Sunday,210.4,6,Clear,0,0
22/02/2026 13:30,Sunday,233.6,1,Clear,0,0
22/02/2026 14:00,Sunday,227.0,11,Clear,0,0
22/02/2026 14:30,Sunday,0.0,24,Rain,0,1
22/02/2026 15:00,Sunday,233.4,12,Clear,0,0
22/02/2026 15:30,Sunday,0.0,0,Rain,0,1
22/02/2026 16:00,Sunday,219.6,1,Clear,0,0
22/02/2026 16:30,Sunday,159.0,2,Clear,0,0
22/02/2026 17:00,Sunday,0.0,28,Rain,0,1
22/02/2026 17:30,Sunday,0.0,43,Heavy Wind,0,1
22/02/2026 18:00,Sunday,228.4,1,Dull,0,0
22/02/2026 18:30,Sunday,212.5,12,Clear,0,0
22/02/2026 19:00,Sunday,222.0,0,Dull,0,0
22/02/2026 19:30,Sunday,233.6,0,Clear,0,0
22/02/2026 20:00,Sunday,228.4,9,Rain,0,0
22/02/2026 20:30,Sunday,230.9,2,Rain,0,0
22/02/2026 21:00,Sunday,215.8,7,Clear,0,0
22/02/2026 21:30,Sunday,218.7,2,Dull,0,0
22/02/2026 22:00,Sunday,220.8,2,Clear,0,0
22/02/2026 22:30,Sunday,228.5,1,Clear,0,0
22/02/2026 23:00,Sunday,0.0,0,Clear,0,1
22/02/2026 23:30,Sunday,0.0,36,Rain,1,1
23/02/2026 00:00,Monday,0.0,25,Clear,1,1
23/02/2026 00:30,Monday,225.7,2,Clear,0,0
23/02/2026 01:00,Monday,217.0,8,Dull,0,0
23/02/2026 01:30,Monday,221.5,3,Clear,0,0
23/02/2026 02:00,Monday,223.3,6,Clear,0,0
23/02/2026 02:30,Monday,233.7,3,Dull,0,0
23/02/2026 03:00,Monday,210.7,6,Clear,0,0
23/02/2026 03:30,Monday,0.0,29,Heavy Wind,0,1
23/02/2026 04:00,Monday,216.8,8,Dull,0,0
23/02/2026 04:30,Monday,229.1,7,Dull,0,0
23/02/2026 05:00,Monday,225.1,4,Clear,0,0
23/02/2026 05:30,Monday,223.0,2,Clear,0,0
